ngonngu,theloai_eng,theloai,tensach,hinhanh,tensach,tacgia,giaban,giamgia,giagoc,mota,nxb,hinhthuc,sobinhchon,sodanhgia,namxb
Tiếng Anh,Entertainment,Giải trí,The Art of the Film: Fantastic Beasts and Where to Find Them,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9780008204617.jpg,The Art of the Film: Fantastic Beasts and Where to Find Them,Author,587,10,653.000 đ,"Step inside the world of the talented art departments who, led by Academy Award®-winning production designer Stuart Craig, were responsible for the creation of the unforgettable characters, locations and beasts in J.K. Rowling’s Fantastic Beasts and Where to Find Them.
The Art of the Film, edited by concept artist Dermot Power, takes you on a magical journey through a design process every bit as wonderful as Newt Scamander’s adventure in the wizarding world.
Bursting with hundreds of production paintings, concept sketches, storyboards, and matte paintings, and filled with unique insights about the filmmaking journey from Stuart Craig and the artists themselves, this sumptuous volume presents a visual feast for readers, and welcomes fans of the Harry Potter films into the world of the Academy Award®-nominated Fantastic Beasts and Where to Find Them.",Harper Collins Publishers,Bìa Cứng,0,(0 đánh giá),2016
Tiếng Anh,Travel & Holiday Guides,Hướng dẫn du lịch và kỳ nghỉ,Indian Summer,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195796.jpg,Indian Summer,Abacus,202,10,225.000 đ,"Indian Summer

While attempting to teach at an inner London comprehensive Will Randall is taken up by an elderly German woman who asks him to accompany her to India. Nothing ventured, he agrees and so begins a wonderful life-changing adventure. Set down in Puna (3 hours from Bombay) he begins work teaching English at a slum school. Most of the children are orphans or parentless (one lost his parents four years previously when his mother had let go of his hand at a railway station and he 'd boarded the wrong train ). When zamidars -slum barons - arrive and threaten to pull down the school Randall has to put on a fund-raising performance of the Indian epic The Ramayana in order to help the slum dwellers buy their own land. Meanwhile he's also been spotted by a Bollywood Director who persuades him to take the role of leading man in his new film.

Will Randall is 'the teacher who travels' and, as in SOLOMON TIME, this is a funny and heart-warming account of how one man's enthusiasm and old-fashioned desire to do good have helped to preserve a community.",Abacus,Bìa Mềm,0,(0 đánh giá),2004
Tiếng Anh,Poetry & Drama,Thơ và Kịch,The Glass Menagerie,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_24670.jpg,The Glass Menagerie,"Tennessee Williams,Arthur Miller,Robert Bray",173,10,193.000 đ,"Abandoned by her husband, Amanda Wingfield comforts herself with recollections of her earlier, more gracious life in Blue Mountain when she was pursued by 'gentleman callers'. Her son Tom, a poet with a job in a warehouse, longs for adventure and escape from his mother's suffocating embrace, while Laura, her shy crippled daughter, has her glass menagerie and her memories. Amanda is desperate to find her daughter a husband, but when the long-awaited gentleman caller does arrive, Laura's romantic illusions are crushed.",PENGUIN CLASSICS,Bìa Mềm,0,(0 đánh giá),2/9/2009
Tiếng Anh,Computing,Điện toán,"Coders: Who They Are, What They Think And How They Are Changing Our World",https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_31807.jpg,"Coders: Who They Are, What They Think And How They Are Changing Our World",Clive Thompson,275,10,306.000 đ,"Coders: Who They Are, What They Think And How They Are Changing Our World

'Masterful . . . [Thompson] illuminates both the fascinating coders and the bewildering technological forces that are transforming the world in which we live.' David Grann, author of The Lost City of Z

Facebook’s algorithms shaping the news. Uber’s cars flocking the streets. Revolution on Twitter and romance on Tinder. We live in a world constructed of computer code. Coders – software programmers – are the people who built it for us. And yet their worlds and minds are little known to outsiders.

In Coders, Wired columnist Clive Thompson presents a brilliantly original anthropological reckoning with the most influential tribe in today’s world, interrogating who they are, how they think, what they value, what qualifies as greatness in their world, and what should give us pause.

One of the most prominent journalists writing on technology today, Clive Thompson takes us into the minds of coders, the most quietly influential people on the planet, in a journey into the heart of the machine – and the men and women who made it.",Picador,Bìa Mềm,0,(0 đánh giá),2019
Tiếng Anh,Art & Photography,Nghệ thuật & Nhiếp ảnh,Encyclopedia of Garden Design,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_3057.jpg,Encyclopedia of Garden Design,DK,628,10,698.000 đ,"Plant the garden of your dreams and transform your outdoor space with award-winning Royal Horticultural Society garden design experts.

Whether you're looking to revive a tired flowerbed or simply looking for new garden ideas, the RHS Encyclopedia of Garden Design will show you how to make your ideal garden a reality. Grasp the fundamentals of garden design, find a style that suits you, and bring your ideas to life.

This design bible is packed with advice to guide you from planning to planting. From preparation such as choosing the correct materials for your structures and assessing your drainage, to laying patios, making ponds, and planting perennials, the RHS Encyclopedia of Garden Design is with you every step of the way.

Discover inspirational portfolios including modernist, sustainable, Japanese, urban, family, and cottage gardens. Understand the unique features of each garden style, create your own plan, and marvel at case studies showcasing the gold standard of each garden type. With a handy visual dictionary and coverage of all the latest gardening trends, this book combines style with substance to guide you as you plant your perfect outdoor space.",Dorling Kindersley Ltd,Bìa Cứng,0,(0 đánh giá),28/09/2017
Tiếng Anh,Food & Drink,Thực phẩm và Đồ uống,The Sprout Book: Tap Into The Power Of The Planet's Most Nutritious Food,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_234096.jpg,The Sprout Book: Tap Into The Power Of The Planet's Most Nutritious Food,Essentials,282,10,314.000 đ,"The Sprout Book: Tap Into The Power Of The Planet's Most Nutritious Food


The book about the power of sprouts as an ultra-food for health, weight loss, and optimum nutrition by Doug Evans, the co-founder of Organic Avenue and the founder of Juicero

The Sprout Book is a transformative plan to empower readers to embark on a plant-based way of eating that's low-cost and accessible. With a foreword by Joel Fuhrman, M.D., this book introduces sprouts, one of the most nutritious sustainable foods on earth, by adding a few dishes to a diet and then shifting into a raw, whole foods plant-based diet.

Among the mind-blowing nutritional qualities of sprouts:

-- they have 20-30 times the nutrients of other vegetables and 100 times those of meat

-- they pack cancer-fighting properties and help to protect us from cardiovascular disease and environmental pollutants

-- they aid in digestion

-- they are a simple way to grow your own vegetables and compatible with all diets

The forty recipes inside feature sprouts on top of raw vegetables, fruits, nuts, seeds, spices, sea vegetables, and top-quality cold-pressed vegetable oils for the healthiest diet possible. The Sprout Book includes informative interviews with leaders in functional medicine and nutrition. Use it to change your diet and super-charge your health!",Essentials,Bìa Mềm,0,(0 đánh giá),2020
Tiếng Anh,Art & Photography,Nghệ thuật & Nhiếp ảnh,CO LAB: Collaborative Design Survey,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_4060.jpg,CO LAB: Collaborative Design Survey,Bis Publishers,878,5,451.000đ,"CO LAB: Collaborative Design Survey

The object of CO LAB: is to promote the ideals and methods of contemporary design collaboration by informing on cultural context, surveying some unexpected practitioners, and highlighting techniques and practices that apply to studio work and forward-thinking education initiatives. There will be three main sections with 10-20 short-burst chapters in each, befitting the collection/handbook format.",Bis Publishers,Bìa Mềm,0,(0 đánh giá),2015
Tiếng Anh,Technology & Engineering,Công nghệ & Kỹ thuật,Archaeology From Space: How The Future Shapes Our Past,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_234098.jpg,Archaeology From Space: How The Future Shapes Our Past,Henry Holt and Co.,267,10,297.000 đ,"Archaeology From Space: How The Future Shapes Our Past


A Science Friday Best Science Book of 2019 - An Amazon Best Science Book of 2019 - A Kirkus Reviews Best Nonfiction Book of 2019 - Nature's Top Ten Books of 2019 - A Science News Best Book of 2019

A crash course in the amazing new science of space archaeology that only Sarah Parcak can give. This book will awaken the explorer in all of us. --Chris Anderson, Head of TED

National Geographic Fellow and TED Prize-winner Sarah Parcak pioneers the young field of satellite archaeology, using futuristic tools to unlock secrets from the past and transform how discoveries are made. As an archaeologist, she has worked on remote sensing projects across twelve countries and four continents, using multispectral and high-resolution satellite imagery analysis to identify thousands of potential archaeological sites. These include previously unknown settlements, roads, fortresses, palaces, tombs, and even potential pyramids. She presently directs major crowdsourcing efforts to map ancient civilizations across Peru and India.

In Archaeology from Space, Sarah describes the field's evolution, major discoveries, and future potential. From surprise advancements after the declassification of spy photography, to a new map of the mythical Egyptian city of Tanis, she shares her field's biggest discoveries, revealing why space archaeology is not only exciting but also essential to the preservation of the world's ancient treasures for future generations.

Sarah's stories take readers back in time and across borders, into the day-to-day lives of ancient humans who displayed grit, ingenuity, and brilliance across the millennia. We share those same traits, and those same underlying genes. If we heed the lessons of the past, we can shape a vibrant future.",Henry Holt and Co.,Bìa Mềm,0,(0 đánh giá),2020
Tiếng Anh,Travel & Holiday Guides,Hướng dẫn du lịch và kỳ nghỉ,Moon Cleveland (Third Edition) (Travel Guide),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_12974.jpg,Moon Cleveland (Third Edition) (Travel Guide),Douglas Trattner,315,10,351.000 đ,"Moon Cleveland (Third Edition) (Travel Guide)

Experience an American city with Rust Belt roots and a vibrant, creative spirit with Moon Cleveland. Inside you'll find:

- Explore the City: Navigate by neighbourhood or by activity, with colour-coded maps of Cleveland's most interesting neighbourhoods

- See the Sights: Root for the Cleveland Indians at ""The Jake,"" check out the legendary costumes, instruments, and handwritten lyrics at the Rock & Roll Hall of Fame, admire industrial-era mansions, or check out the Museum of Contemporary Art

- Get a Taste of the City: Dine at a trattoria in Little Italy, savour fresh fare at farm-to-table restaurants, sample falafel, pierogis, local cheeses and more at the Westside Market, and relax with a pint at a craft brewery

- Bars and Nightlife: Catch a performance at the House of Blues, play bocce ball in an Irish pub, polka-dance at a popular local happy hour, or sip craft cocktails in a historic lounge

- Local Advice: Douglas Trattner shares insider know-how on the city he calls home

- Itineraries and Day Trips: Explore nearby Lake Erie, Akron, and Amish Country, or follow city itineraries designed for long weekends, rainy days, and more

- Handy tools like full-colour photos, detailed maps, and background information on the history and culture of Cleveland

With Moon Cleveland's practical tips and local insight, you can experience the city your way.

Exploring more cities in the American Midwest? Check out Moon Chicago or Moon Minneapolis & St. Paul.",Moon Travel,Bìa Mềm,0,(0 đánh giá),2019
Tiếng Anh,Art & Photography,Nghệ thuật & Nhiếp ảnh,Desktop Disco Fever: Lights! Sound! Boogie! (Miniature Editions),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_12.jpg,Desktop Disco Fever: Lights! Sound! Boogie! (Miniature Editions),Running Press,225,10,250.000 đ,"Desktop Disco Fever has everything you need--including a mini disco ball with lights and sound--to set the stage for a dance party right on your desk!

This kit includes:

- Mini disco ball, with four flashing, colored lights and 60 seconds of music

- Printed mat

- 32-page illustrated mini book",Running Press,Mixed Media Product,0,(0 đánh giá),4/4/2017
